St	Category	4/80cen	7/81	7/82	7/83	7/84	7/85	7/86	7/87	7/88	7/89
NV	POPULATION	800493	847655	881537	901977	924922	951030	980613	1023376	1075022	1137382
NV	CHANGE	47162	33882	20440	22946	26108	29583	42762	51647	62360	64451
NV	%CHANGE	5.89	4	2.32	2.54	2.82	3.11	4.36	5.05	5.8	5.67
NV	BIRTHS	16876	14359	14483	14352	15099	15619	16222	17231	18686	14946
NV	DEATHS	7275	6048	6345	6540	6999	7279	7559	8168	8496	6530
NV	RESIDUAL	37560	25571	12301	15133	18007	21242	34099	42583	52170	56034
NH	POPULATION	920610	936621	947719	958134	976864	996753	1025053	1054289	1082577	1104522
NH	CHANGE	16011	11098	10415	18730	19888	28301	29236	28288	21945	4730
NH	%CHANGE	1.74	1.18	1.1	1.95	2.04	2.84	2.85	2.68	2.03	0.43
NH	BIRTHS	16923	13825	13963	13809	14856	15635	16443	17168	17515	13602
NH	DEATHS	9514	7618	7774	7992	8220	8462	8474	8680	8659	6476
NH	RESIDUAL	8601	4891	4225	12913	13252	21127	21266	19799	13089	-2396
NJ	POPULATION	7364823	7407472	7430968	7467785	7515473	7565528	7622159	7670742	7712333	7726089
NJ	CHANGE	42649	23497	36816	47688	50056	56630	48583	41591	13756	4099
NJ	%CHANGE	0.58	0.32	0.5	0.64	0.67	0.75	0.64	0.54	0.18	0.05
NJ	BIRTHS	119678	97586	99153	98883	103696	107191	110916	115187	115957	88177
NJ	DEATHS	84984	67141	68259	69124	70234	71053	71395	73011	70048	51112
NJ	RESIDUAL	7954	-6948	5922	17929	16593	20492	9061	-584	-32152	-32965
NM	POPULATION	1302894	1332748	1363823	1394361	1416717	1438361	1462729	1478520	1490337	1503901
NM	CHANGE	29854	31076	30538	22356	21644	24368	15791	11818	13563	11168
NM	%CHANGE	2.29	2.33	2.24	1.6	1.53	1.69	1.08	0.8	0.91	0.74
NM	BIRTHS	33016	27191	27746	27161	27553	27447	27284	27042	26982	20861
NM	DEATHS	11082	8900	9177	9366	9629	9832	10150	10458	10474	8009
NM	RESIDUAL	7919	12784	11969	4560	3720	6752	-1343	-4766	-2944	-1683
NY	POPULATION	17558072	17567734	17589738	17686905	17745684	17791672	17833419	17868848	17941309	17983086
NY	CHANGE	9662	22005	97167	58779	45987	41748	35428	72461	41777	7369
NY	%CHANGE	0.06	0.13	0.55	0.33	0.26	0.23	0.2	0.41	0.23	0.04
NY	BIRTHS	298299	245289	249227	246915	256024	261696	267388	275236	284127	222078
NY	DEATHS	211951	166440	168156	169657	170672	170854	171000	175152	173181	129905
NY	RESIDUAL	-76686	-56844	16095	-18478	-39364	-49094	-60959	-27622	-69168	-84804
NC	POPULATION	5881766	5956653	6019101	6077056	6164006	6253954	6321578	6403700	6480594	6565459
NC	CHANGE	74887	62448	57955	86950	89948	67624	82122	76895	84865	63178
NC	%CHANGE	1.27	1.05	0.96	1.43	1.46	1.08	1.3	1.2	1.31	0.96
NC	BIRTHS	104580	85154	85462	84084	88162	90065	91920	95372	99435	78028
NC	DEATHS	60842	48787	49510	50849	52333	53853	54870	57078	57851	43978
NC	RESIDUAL	31148	26081	22003	53714	54118	31412	45071	38600	43280	29127
ND	POPULATION	652717	659505	668972	676688	680497	676980	669512	661136	655331	646351
ND	CHANGE	6788	9468	7716	3809	-3517	-7468	-8376	-5805	-8980	-7551
ND	%CHANGE	1.04	1.44	1.15	0.56	-0.52	-1.1	-1.25	-0.88	-1.37	-1.17
ND	BIRTHS	15104	12577	12596	11951	11805	11294	10571	10187	9790	7330
ND	DEATHS	6916	5411	5494	5561	5588	5450	5400	5666	5611	4214
ND	RESIDUAL	-1400	2301	614	-2581	-9734	-13312	-13547	-10325	-13159	-10666
OH	POPULATION	10797630	10788330	10757087	10737632	10737746	10734926	10730268	10760090	10798552	10829217
OH	CHANGE	-9300	-31243	-19455	114	-2820	-4658	29821	38463	30665	17898
